latitude,longitude,altitude,geometry,state_code,source,name,ward_code,poi_type,global_id
6.57943,3.34186,,Point,LA,OSGOF,Gospel Apostolic Church Shogunle,LASOIO20,Church,0007b5bd-56f9-4a30-be9f-5e88c6e95151
6.44097,3.14695,,Point,LA,OSGOF,S And C Church Of God Church Ese Ofin Riverine,LASOJO02,Church,002105aa-d9fd-4d1a-9f01-eeb7e0652f32
6.43489,3.48553,,Point,LA,OSGOF,Redeemed Christian Church Of God Ikate,LASEOA10,Church,004addc1-5894-47a5-aba9-3778a6560011
6.5573,3.34714,,Point,LA,OSGOF,Redeemed Christian Church Of God 1 Igbehin Adun,LASOIO11,Church,00599af1-b0ae-442e-b046-d27f1317e588
6.61136,3.39815,,Point,LA,OSGOF,Deeper Life Bible Church Maidan,LASKSE20,Church,0075df28-1da5-4964-8711-286a0ada1935
6.61408,3.38332,,Point,LA,OSGOF,Catholic Church Magodo,LASKSE21,Church,0098d5ac-8562-4141-a229-6d6021142dd6
6.5821,3.40856,,Point,LA,OSGOF,Christ Apostolic Church Agboyi Iii,LASKSE02,Church,00f46a0d-5718-416e-800f-9f81a956862d
6.50615,3.3363,,Point,LA,OSGOF,Voice Of Jesus Ministry Itire,LASSUE18,Church,0100bb36-3734-4f13-843d-95261ddbb27a
6.57123,3.28654,,Point,LA,OSGOF,The Apostolic Church Idimu,LASAMO22,Church,01049187-3862-492f-831d-2c2303e316d9
6.52957,3.36866,,Point,LA,OSGOF,Igbobifour Square Gospel Church Igbobi Fadeyi,LASSMU08,Church,01c0f198-a17f-4715-8e7c-ed48a84091b8
6.59304,3.30534,,Point,LA,OSGOF,Peculiar People Ministry Shasha Ajegunle,LASAMO35,Church,01d116d6-0b9e-4105-9300-730674c49a67
6.5624,3.34199,,Point,LA,OSGOF,Grace And Glory Oshodi,LASOIO16,Church,01e08c5c-e28c-4a5e-90ae-bd04c5d27b4c
6.433256,3.503994,,Point,LA,eHA_Polio,Divine Church of Christ,LASEOA13,Church,021c04be-d7cb-4a82-8da7-21c98e7b9c16
6.44103,3.34381,,Point,LA,OSGOF,Celestial Church Of Christ Tolu,LASATO15,Church,022d0881-06cd-471e-8413-9dafcdaa7471
6.54108,3.31204,,Point,LA,OSGOF,Redeemed Christian Church Of God 2 Ilamoshe,LASOIO12,Church,02aa24af-b283-4b8d-8334-681e343e1923
6.52554,3.29431,,Point,LA,OSGOF,Sabath Holy Ghost Ailegun,LASOIO03,Church,02aa5d97-1b21-4a6f-8323-4c3f4517fe54
6.59241,3.3996,,Point,LA,OSGOF,Christ Disciples Globe Church Oshogun,LASKSE07,Church,02cdc116-86b2-4749-8316-e0496ff9e9b3
6.4217,3.35912,,Point,LA,OSGOF,Episcopal Church Ituagan,LASAPA02,Church,02d75d7c-90d5-4ce8-9a1a-d4024a2656fd
6.5019,3.38605,,Point,LA,OSGOF,Rock Of Salvation Pentecostal Makoko,LASLMD12,Church,02ddfcaf-ca87-412e-8208-7768cd1a3f54
6.53928,3.37249,,Point,LA,OSGOF,Christian Mission Church For The Deaf,LASSMU09,Church,02e71bf8-7dd6-437f-b503-5c77ad769201
6.50544,3.34488,,Point,LA,OSGOF,Lord's Chapel Ikate,LASSUE20,Church,032efe39-7338-43bf-acb7-d219640242e9
6.4979,3.58444,,Point,LA,OSGOF,Celestial Church Of God Addo,LASEOA02,Church,032f773f-815a-44a3-a1dd-563059416266
6.4458,3.33526,,Point,LA,OSGOF,Eternal Sacred Church Ibafon,LASATO04,Church,039faa1c-6ca3-488f-99f4-0cfed406b88c
6.48981,3.15271,,Point,LA,OSGOF,Assemblies Of God Church Ketu,LASOJO13,Church,03e261f1-6631-49ee-bf1f-2d15b441a95e
6.60782,3.42019,,Point,LA,OSGOF,Christ Apotolic Church Owode Ajegunle,LASKSE14,Church,042b16f5-6a8d-4ef1-9e58-ce2920b191f0
6.53626,3.29452,,Point,LA,OSGOF,Mountain Of Fire Ailegun,LASOIO03,Church,044061cf-836c-4dfc-af89-85a8dce779fb
6.52667,3.39961,,Point,LA,OSGOF,Life Foundation Church Akoka,LASSMU02,Church,049d88bb-1eaa-4775-891a-afe2a3b20e89
6.417431,3.327784,,Point,LA,eHA_Polio,Immanuel Anglican Church,LASAON09,Church,049e0f73-c7b2-43ac-82c8-6f6fa3c0e3e0
6.53551,3.36254,,Point,LA,OSGOF,Redeemed Christian Church Onipanu,LASMUN18,Church,04dd7351-4ba5-4ef7-85e2-201b21670311
6.52995,3.37669,,Point,LA,OSGOF,Christ Redemption,LASSMU05,Church,04ddadd8-0777-461c-aedf-b90f073f1673
6.45135,3.14365,,Point,LA,OSGOF,St John's Anglical Church Etegbin Riverine,LASOJO03,Church,051df9f3-111b-4109-9286-259ea5e12470
6.59808,3.36689,,Point,LA,OSGOF,Day Star Christ Center,LASIKA15,Church,0547a7f2-84aa-43b8-84f5-89b80cbbcb5e
6.50701,3.33971,,Point,LA,OSGOF,Jesus The Winner Outreach Ikate,LASSUE18,Church,05894014-6fae-42e4-a92a-efa3753c1c3a
6.57056,3.34054,,Point,LA,OSGOF,Perfect Renewal Church Maboju,LASOIO08,Church,058cd7a6-16e2-4190-a549-d7ea9d54c6cf
6.4555,3.3851,,Point,LA,OSGOF,St Pauls Church Balogun,LASLID20,Church,058e9775-63a5-41ba-9cce-d7a1afc67b16
6.47372,3.34312,,Point,LA,OSGOF,St Joseph Chosen Sari Iganmu,LASAPA03,Church,05b38ef3-0967-41ed-8134-306b3ebe2d24
6.5515,3.32305,,Point,LA,OSGOF,Christian Faith Assembly Ajao Estate,LASOIO04,Church,05e64205-8659-4e55-9930-f3aefec665b7
6.60247,3.30882,,Point,LA,OSGOF,Destiny Revival Church Akowonjo,LASAMO34,Church,061900b0-7ec2-4677-a17d-725619dbd726
6.59477,3.28105,,Point,LA,OSGOF,Redeemed Christian Church Of God City Changer,LASAMO33,Church,06ea1eef-fb2d-4b9e-85ff-c979ef27c926
6.55534,3.34043,,Point,LA,OSGOF,Glory Christ Orile Oshodi,LASOIO01,Church,06ffed19-2aa0-4b1d-9f77-82907fa9d362
6.54794,3.37023,,Point,LA,OSGOF,Sheperd Baptist Church Obanikoro,LASSMU15,Church,077344b2-e9a2-473b-b3bb-29481e5d92aa
6.53575,3.34604,,Point,LA,OSGOF,Ogo Oluwa C And S Papa Ajao,LASMUN19,Church,07818f49-9e89-4191-a504-82841acec9ec
6.50068,3.39187,,Point,LA,OSGOF,Cherubim And Seraphim Church Church Iwaya,LASLMD04,Church,07ecf12d-c756-4494-8277-75cdceb75bfe
6.52909,3.2938,,Point,LA,OSGOF,Foursquare Church 1 Ailegun,LASOIO03,Church,087a40c2-23c7-40bc-afbd-2ed387c118a3
6.55711,3.38669,,Point,LA,OSGOF,Redeemed Christian Church Of God Livingstone Assembly Soluyi,LASKSE06,Church,08ef3097-8adc-4988-9d92-690f3bcb22f4
6.44399,3.33432,,Point,LA,OSGOF,Kingdom Hall Of Jehovah Witness Ibafon,LASATO09,Church,08f039e1-fc96-46f6-97e0-444ab754f448
6.51817,3.34091,,Point,LA,OSGOF,Apostolic Church Oyinkan,LASMUN17,Church,096cb375-e9f6-4258-b00b-c09d469f7fac
6.51727,3.33917,,Point,LA,OSGOF,K And S Agbanu Oke Ayo,LASMUN17,Church,096cc632-6201-404a-a46b-14aff3dab191
6.61399,3.29496,,Point,LA,OSGOF,Seven Day Adventist Alimosho,LASAMO32,Church,0a06f922-e60f-48de-ace5-fc6ee88704d3
6.57213,3.29637,,Point,LA,OSGOF,The King Heritage Church Idimu,LASOIO02,Church,0a2c46fb-96d4-4650-9e02-97cceb3fe225
