latitude,longitude,altitude,geometry,state_code,source,name,ward_code,poi_type,global_id
6.58163,3.3409,,Point,LA,OSGOF,Ikawo Kolaso Mosque,LASOIO20,Mosque,001c1ad2-3c1d-48b0-b67c-1edaa7762841
6.46541,3.33473,,Point,LA,OSGOF,Ifelodun Mosque Alaba,LASATO06,Mosque,009f1fb6-94a2-4c52-b93e-70d6cb329364
6.41676,3.31395,,Point,LA,OSGOF,Igbo Isu Central Mosque,LASAON09,Mosque,011c12f0-ada0-464c-bfd4-9fd4f8f97f76
6.54389,3.37999,,Point,LA,OSGOF,Maharufdeen Central Mosque,LASSMU06,Mosque,0200322e-116d-47f3-970c-fe479b09c7f5
6.40346,3.09423,,Point,LA,OSGOF,Igbo Oja Nla Central Mosque,LASOJO15,Mosque,0202a9e0-be2e-4a81-92ec-ce2caa887823
6.63564,3.37464,,Point,LA,OSGOF,Olowora Central Mosque,LASKSE12,Mosque,02edc3e4-1c7d-4edb-a90f-9babc704e93d
6.55232,3.33089,,Point,LA,OSGOF,Wulemotu Agbo Central Mosque,LASOIO15,Mosque,031c3dbe-5702-4037-8f1e-c880a5aa6dd2
6.52154,3.36688,,Point,LA,OSGOF,Ansa Ud Deen Mosque,LASMUN02,Mosque,045b5a85-63ab-4b94-9fdf-c9e0cf08e64c
6.52637,3.34169,,Point,LA,OSGOF,Anwarul Islam Central Mosque,LASMUN01,Mosque,0506303f-37ca-44fd-8278-1c4f20e13c7f
6.60653,3.39497,,Point,LA,OSGOF,Erunkan Central Mosque,LASKSE09,Mosque,052ccc52-7cec-44be-9803-4ad4a0f5c678
6.40342,3.13118,,Point,LA,OSGOF,Olomometa Central Mosque,LASOJO15,Mosque,057f0c21-bd08-4d6c-90e1-7f53fc8df046
6.41785,3.23761,,Point,LA,OSGOF,Ikeanabi Mosque,LASAON05,Mosque,05f291b0-e0af-42c9-aec1-1534260e4ec8
6.60573,3.39773,,Point,LA,OSGOF,Aliwo Central Mosque,LASKSE09,Mosque,072e08a8-c65e-45bf-9995-fe958d67939d
6.63112,3.31822,,Point,LA,OSGOF,Amodu Mosque,LASAGG12,Mosque,07626ce8-5b9c-4d1a-be94-8109d19d5ed4
6.64336,3.71316,,Point,LA,OSGOF,Oluwakemi Rotibi Mosque,LASEPE02,Mosque,07e6411a-e49e-4e0b-8233-2408c0b54a0b
6.49762,3.32629,,Point,LA,OSGOF,Ijesha Central Mosque,LASSUE17,Mosque,0859a1ab-9001-4b43-aaea-cccfa3ab06db
6.42734,3.23407,,Point,LA,OSGOF,Irede Central Mosque,LASAON05,Mosque,08fda101-5063-43a3-b3f4-74672bdaff01
6.55784,3.3352,,Point,LA,OSGOF,Ansar Ud Deen Mosque Ogunoloko,LASOIO15,Mosque,096f0563-6d43-43ab-b60c-2d3ca793a947
6.61679,3.39751,,Point,LA,OSGOF,Agiliti Central Mosque,LASKSE21,Mosque,0a977fa8-d83a-4500-8574-db42f37ab9a0
6.45926,3.38163,,Point,LA,OSGOF,Nawair Ud Deen Central Mosque,LASLID15,Mosque,0ccd9935-508e-4f8c-b8f4-28bfebca62c3
6.62619,3.31188,,Point,LA,OSGOF,Sherifat Agbede Mosque,LASAGG04,Mosque,0cd75f04-6f5c-443c-926a-4ad5a9aa7d05
6.48832,3.36174,,Point,LA,OSGOF,Iponri Housing Estate Mosque,LASSUE01,Mosque,0d37829f-25f5-48bd-9d5b-717c24df8033
6.5203,3.33388,,Point,LA,OSGOF,Idera Oluwa Mosque,LASOIO13,Mosque,0d8933dd-ac87-4ab4-bed5-ddb8e7446ae9
6.47208,3.33895,,Point,LA,OSGOF,Onilewura Mosque,LASATO11,Mosque,0d8e0d4d-212e-4b54-8290-68e940541c32
6.58737,3.39923,,Point,LA,OSGOF,Alapere Central Mosque,LASKSE03,Mosque,0dd32f05-8c4b-4f47-8eb4-9c0a9106ef70
6.61074,3.25524,,Point,LA,OSGOF,Ipaja Central Mosque,LASAMO26,Mosque,0f1869f0-7b65-495a-9a8f-0b601032317b
6.4794,3.38759,,Point,LA,OSGOF,Owolara Memorial Mosque,LASLMD17,Mosque,0fa5edfd-2dde-4216-87cd-6108b95a46aa
6.46204,3.34525,,Point,LA,OSGOF,Aiyetoro Mosque,LASATO01,Mosque,10043a2e-8979-47c5-9aed-d936a6e82cd5
6.45844,3.3842,,Point,LA,OSGOF,Fourah Bay Mosque,LASLID05,Mosque,127e1774-3926-4af3-92c4-897b17e8835a
6.54394,3.27866,,Point,LA,OSGOF,Egbe Central Mosque,LASAMO18,Mosque,138f49d4-304d-45df-8a6c-538866a01a1d
6.62319,3.2813,,Point,LA,OSGOF,Aboru Central Mosque,LASAMO04,Mosque,148647b6-b729-4f42-a5e0-e679f5b0831a
6.63567,3.32381,,Point,LA,OSGOF,Abm Mosque,LASIOE02,Mosque,14cd438b-e9e7-417a-88b2-a439e9826220
6.46314,3.17019,,Point,LA,OSGOF,Ilemba Hausa Central Mosque,LASOJO14,Mosque,14ec88df-9d1c-4dca-9904-d9b0cba509c8
6.537,3.38857,,Point,LA,OSGOF,Saitmate Guest House Mosque,LASSMU01,Mosque,153f6781-83ca-43b3-80e6-9ec908f74b22
6.47354,3.38012,,Point,LA,OSGOF,Opeloyeru Mosque,LASLMD16,Mosque,15c23beb-d967-431d-9282-316a95177dd3
6.41848,3.20152,,Point,LA,OSGOF,Iyagbe Central Mosque,LASAON05,Mosque,163e4d20-5214-4610-8552-315468e3e410
6.62248,3.31825,,Point,LA,OSGOF,Hausa Central Mosque Moricas,LASAGG02,Mosque,16aeb433-a180-4bc3-985a-cbfd18c47e4b
6.50281,3.78266,,Point,LA,OSGOF,Opeloyeru Central Mosque,LASEPE12,Mosque,16de0308-9295-44d5-b5fc-25f24e123736
6.53036,3.37702,,Point,LA,OSGOF,Ibukum Oluwa Mosque,LASSMU11,Mosque,16fe3c96-c617-46b2-a388-78eecaf35b82
6.46134,3.38978,,Point,LA,OSGOF,Zumurat Hujat Mosque,LASLID10,Mosque,1732bb32-67cd-43c9-9248-a961ee1f3c87
6.63238,3.36392,,Point,LA,OSGOF,Omole Mosque,LASIKA02,Mosque,18734b53-0af4-4f3c-9542-ec9168d1c656
6.4051,3.10144,,Point,LA,OSGOF,Igbooja Kekere S B Central Mosque,LASOJO15,Mosque,18d8fad0-2b83-4782-a5cb-7f90252bcbcf
6.46627,3.36136,,Point,LA,OSGOF,Ajumoni Central Mosque Badia,LASAPA06,Mosque,1ae238f0-eb00-4e7d-bbe9-b68924c822fe
6.47924,3.34177,,Point,LA,OSGOF,Temitayo Mosque,LASSUE07,Mosque,1b35ebd0-41eb-4d58-9a90-f66c6e3c99e6
6.56231,3.33683,,Point,LA,OSGOF,Mafoluku Mosque 1,LASOIO16,Mosque,1c1e9244-0bc9-47b8-808d-4cd36aed7fa5
6.54511,3.37944,,Point,LA,OSGOF,Alabukun Mosque,LASSMU03,Mosque,1c489d16-a489-48eb-ade7-63f8f454be35
6.4658,3.33972,,Point,LA,OSGOF,Mosafejo Mosque,LASATO03,Mosque,1c6ac95f-b5e0-4570-8092-4dadf651ff0a
